years,ssp370,ssp119,ssp126,ssp245,ssp585
2015,10.9,10.9,10.9,10.9,10.9
2020,11.7749299153649,10.7063848251701,10.2844653069932,11.3228528268346,11.7326718285475
2030,13.2918051769423,8.39375909093475,8.91122212070995,12.2087512328918,12.6467650935487
2040,14.5266102988607,8.37657366407661,8.21596605947126,12.6237673811865,13.37985962854
2050,15.6349116638214,8.07358519737887,7.9412286244972,12.5869391753868,13.1712714869241
2060,16.6379554544021,7.94161176480449,7.82467318107389,12.2185690265798,13.4364860206943
2070,17.6243012933096,7.95815173403822,7.82480080076439,11.5457193059936,13.4341378816514
2080,18.581107,7.97892396545785,8.02550132314605,10.3626363232992,13.4883164
2090,19.6267587,8.20473625613288,8.54429373371885,9.52475981684137,13.2239784
2100,20.6540842,8.33907191457839,8.35701750609135,8.7323344434787,12.7250119
