Entity,Year,CO2 concentration - Region: global,CO2 concentration - Region: global (Annotations)
SSP2 - 4.5,2005,379.85,Middle of the Road
SSP2 - 4.5,2010,390.5053,Middle of the Road
SSP2 - 4.5,2020,414.72296,Middle of the Road
SSP2 - 4.5,2030,440.92053,Middle of the Road
SSP2 - 4.5,2040,468.53036,Middle of the Road
SSP2 - 4.5,2050,496.06613,Middle of the Road
SSP2 - 4.5,2060,521.32355,Middle of the Road
SSP2 - 4.5,2070,542.5851,Middle of the Road
SSP2 - 4.5,2080,558.1323,Middle of the Road
SSP2 - 4.5,2090,565.6875,Middle of the Road
SSP2 - 4.5,2100,566.85913,Middle of the Road
SSP2 - 6.0,2005,379.85,Middle of the Road
SSP2 - 6.0,2010,390.5053,Middle of the Road
SSP2 - 6.0,2020,414.77374,Middle of the Road
SSP2 - 6.0,2030,441.83823,Middle of the Road
SSP2 - 6.0,2040,472.56943,Middle of the Road
SSP2 - 6.0,2050,506.96155,Middle of the Road
SSP2 - 6.0,2060,544.09045,Middle of the Road
SSP2 - 6.0,2070,582.67804,Middle of the Road
SSP2 - 6.0,2080,622.368,Middle of the Road
SSP2 - 6.0,2090,663.0393,Middle of the Road
SSP2 - 6.0,2100,704.27203,Middle of the Road
SSP2 - Baseline,2005,379.85,Middle of the Road
SSP2 - Baseline,2010,390.5053,Middle of the Road
SSP2 - Baseline,2020,414.70853,Middle of the Road
SSP2 - Baseline,2030,442.00146,Middle of the Road
SSP2 - Baseline,2040,474.01465,Middle of the Road
SSP2 - Baseline,2050,511.3055,Middle of the Road
SSP2 - Baseline,2060,553.62775,Middle of the Road
SSP2 - Baseline,2070,600.7577,Middle of the Road
SSP2 - Baseline,2080,655.1408,Middle of the Road
SSP2 - Baseline,2090,718.6013,Middle of the Road
SSP2 - Baseline,2100,789.84924,Middle of the Road
SSP3 - 3.4,2005,379.85,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2010,390.5053,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2020,417.0736,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2030,447.32654,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2040,470.7605,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2050,483.41998,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2060,490.4725,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2070,492.76022,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2080,490.72217,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2090,485.81128,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2100,479.13278,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2005,379.85,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2010,390.5053,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2020,417.07413,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2030,448.44305,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2040,477.96088,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2050,501.49054,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2060,517.6443,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2070,527.0577,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2080,533.9179,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2090,538.5743,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2100,540.1797,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2005,379.85,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2010,390.5053,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2020,417.0743,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2030,448.55313,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2040,480.627,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2050,511.4254,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2060,542.94867,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2070,573.50183,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2080,599.94464,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2090,623.12854,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2100,645.05646,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2005,379.85,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2010,390.5053,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2020,417.88876,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2030,451.99728,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2040,491.2553,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2050,535.2207,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2060,583.6923,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2070,636.942,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2080,695.6742,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2090,760.99225,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2100,834.3412,Regional Rivalry - A Rocky Road
SSP4 - 2.6,2010,390.5053,Inequality - A Road Divided
SSP4 - 2.6,2020,415.24533,Inequality - A Road Divided
SSP4 - 2.6,2030,433.12256,Inequality - A Road Divided
SSP4 - 2.6,2040,440.35083,Inequality - A Road Divided
SSP4 - 2.6,2050,444.12308,Inequality - A Road Divided
SSP4 - 2.6,2060,445.20657,Inequality - A Road Divided
SSP4 - 2.6,2070,442.356,Inequality - A Road Divided
SSP4 - 2.6,2080,433.2123,Inequality - A Road Divided
SSP4 - 2.6,2090,417.61453,Inequality - A Road Divided
SSP4 - 2.6,2100,397.15942,Inequality - A Road Divided
SSP4 - 3.4,2010,390.5053,Inequality - A Road Divided
SSP4 - 3.4,2020,415.24533,Inequality - A Road Divided
SSP4 - 3.4,2030,438.41174,Inequality - A Road Divided
SSP4 - 3.4,2040,455.5431,Inequality - A Road Divided
SSP4 - 3.4,2050,466.39102,Inequality - A Road Divided
SSP4 - 3.4,2060,472.57806,Inequality - A Road Divided
SSP4 - 3.4,2070,476.0988,Inequality - A Road Divided
SSP4 - 3.4,2080,475.60303,Inequality - A Road Divided
SSP4 - 3.4,2090,468.5495,Inequality - A Road Divided
SSP4 - 3.4,2100,454.8193,Inequality - A Road Divided
SSP4 - 4.5,2010,390.5053,Inequality - A Road Divided
SSP4 - 4.5,2020,415.24533,Inequality - A Road Divided
SSP4 - 4.5,2030,440.5192,Inequality - A Road Divided
SSP4 - 4.5,2040,463.4998,Inequality - A Road Divided
SSP4 - 4.5,2050,481.64142,Inequality - A Road Divided
SSP4 - 4.5,2060,493.56412,Inequality - A Road Divided
SSP4 - 4.5,2070,500.91898,Inequality - A Road Divided
SSP4 - 4.5,2080,505.1717,Inequality - A Road Divided
SSP4 - 4.5,2090,508.5128,Inequality - A Road Divided
SSP4 - 4.5,2100,511.88242,Inequality - A Road Divided
SSP4 - 6.0,2010,390.5053,Inequality - A Road Divided
SSP4 - 6.0,2020,415.24533,Inequality - A Road Divided
SSP4 - 6.0,2030,443.71887,Inequality - A Road Divided
SSP4 - 6.0,2040,475.63715,Inequality - A Road Divided
SSP4 - 6.0,2050,508.4056,Inequality - A Road Divided
SSP4 - 6.0,2060,540.5294,Inequality - A Road Divided
SSP4 - 6.0,2070,571.1252,Inequality - A Road Divided
SSP4 - 6.0,2080,597.51086,Inequality - A Road Divided
SSP4 - 6.0,2090,617.5458,Inequality - A Road Divided
SSP4 - 6.0,2100,631.47406,Inequality - A Road Divided
SSP4 - Baseline,2005,379.85,Inequality - A Road Divided
SSP4 - Baseline,2010,390.5053,Inequality - A Road Divided
SSP4 - Baseline,2020,415.99597,Inequality - A Road Divided
SSP4 - Baseline,2030,446.6259,Inequality - A Road Divided
SSP4 - Baseline,2040,482.37497,Inequality - A Road Divided
SSP4 - Baseline,2050,520.9601,Inequality - A Road Divided
SSP4 - Baseline,2060,561.3776,Inequality - A Road Divided
SSP4 - Baseline,2070,602.93134,Inequality - A Road Divided
SSP4 - Baseline,2080,643.1318,Inequality - A Road Divided
SSP4 - Baseline,2090,681.1994,Inequality - A Road Divided
SSP4 - Baseline,2100,718.3727,Inequality - A Road Divided
SSP5 - 1.9,2005,379.85,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2010,390.5053,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2020,414.9077,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2030,439.23462,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2040,454.8986,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2050,453.73672,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2060,438.65967,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2070,419.48615,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2080,401.91946,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2090,385.7025,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2100,370.15143,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2005,379.85,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2010,390.5053,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2020,414.8545,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2030,441.72583,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2040,467.4384,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2050,484.08047,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2060,486.78116,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2070,477.7632,Fossil-fueled Development - Taking the Highway
