Entity,Year,CO2 emissions per capita - Region: global,CO2 emissions per capita - Region: global (Annotations)
SSP2 - 3.4,2080,0.8476886,Middle of the Road
SSP2 - 3.4,2090,0.20099707,Middle of the Road
SSP2 - 3.4,2100,-0.15700029,Middle of the Road
SSP2 - 4.5,2005,5.8080997,Middle of the Road
SSP2 - 4.5,2010,5.867483,Middle of the Road
SSP2 - 4.5,2020,5.5555825,Middle of the Road
SSP2 - 4.5,2030,5.3722715,Middle of the Road
SSP2 - 4.5,2040,5.063271,Middle of the Road
SSP2 - 4.5,2050,4.671354,Middle of the Road
SSP2 - 4.5,2060,4.1602173,Middle of the Road
SSP2 - 4.5,2070,3.6156976,Middle of the Road
SSP2 - 4.5,2080,2.7450945,Middle of the Road
SSP2 - 4.5,2090,1.6715596,Middle of the Road
SSP2 - 4.5,2100,1.0091478,Middle of the Road
SSP2 - 6.0,2005,5.808091,Middle of the Road
SSP2 - 6.0,2010,5.8674803,Middle of the Road
SSP2 - 6.0,2020,5.56968,Middle of the Road
SSP2 - 6.0,2030,5.5828214,Middle of the Road
SSP2 - 6.0,2040,5.6383467,Middle of the Road
SSP2 - 6.0,2050,5.7350974,Middle of the Road
SSP2 - 6.0,2060,5.824752,Middle of the Road
SSP2 - 6.0,2070,5.872672,Middle of the Road
SSP2 - 6.0,2080,5.9500923,Middle of the Road
SSP2 - 6.0,2090,6.0751157,Middle of the Road
SSP2 - 6.0,2100,6.1363764,Middle of the Road
SSP2 - Baseline,2005,5.807818,Middle of the Road
SSP2 - Baseline,2010,5.867533,Middle of the Road
SSP2 - Baseline,2020,5.552626,Middle of the Road
SSP2 - Baseline,2030,5.655726,Middle of the Road
SSP2 - Baseline,2040,5.8729653,Middle of the Road
SSP2 - Baseline,2050,6.1785307,Middle of the Road
SSP2 - Baseline,2060,6.5428057,Middle of the Road
SSP2 - Baseline,2070,6.9787264,Middle of the Road
SSP2 - Baseline,2080,7.88047,Middle of the Road
SSP2 - Baseline,2090,8.756085,Middle of the Road
SSP2 - Baseline,2100,9.486296,Middle of the Road
SSP3 - 3.4,2005,5.29564,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2010,5.7268844,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2020,6.0585375,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2030,5.671886,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2040,3.5164819,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2050,2.302962,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2060,1.584402,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2070,0.8540418,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2080,0.33740604,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2090,-0.058793124,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2100,-0.30601436,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2005,5.29564,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2010,5.7268844,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2020,6.0585375,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2030,5.9416623,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2040,4.6478558,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2050,3.6719277,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2060,2.4086907,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2070,1.773248,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2080,1.371818,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2090,0.93948585,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2100,0.5072716,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2005,5.29564,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2010,5.7268844,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2020,6.0585375,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2030,5.9670467,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2040,5.1931863,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2050,4.708998,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2060,4.5438614,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2070,3.9151933,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2080,3.2281315,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2090,2.7782497,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2100,2.4760592,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2005,5.29564,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2010,5.7504525,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2020,6.300809,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2030,6.4598193,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2040,6.4681735,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2050,6.4276915,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2060,6.4270825,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2070,6.4576983,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2080,6.496068,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2090,6.604172,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2100,6.752302,Regional Rivalry - A Rocky Road
SSP4 - 2.6,2010,5.187989,Inequality - A Road Divided
SSP4 - 2.6,2020,5.251368,Inequality - A Road Divided
SSP4 - 2.6,2030,2.8844976,Inequality - A Road Divided
SSP4 - 2.6,2040,1.8622882,Inequality - A Road Divided
SSP4 - 2.6,2050,1.2990049,Inequality - A Road Divided
SSP4 - 2.6,2060,0.7108572,Inequality - A Road Divided
SSP4 - 2.6,2070,-0.012997738,Inequality - A Road Divided
SSP4 - 2.6,2080,-1.1215777,Inequality - A Road Divided
SSP4 - 2.6,2090,-2.0306616,Inequality - A Road Divided
SSP4 - 2.6,2100,-2.9641824,Inequality - A Road Divided
SSP4 - 3.4,2010,5.187989,Inequality - A Road Divided
SSP4 - 3.4,2020,5.2513695,Inequality - A Road Divided
SSP4 - 3.4,2030,4.240581,Inequality - A Road Divided
SSP4 - 3.4,2040,3.205621,Inequality - A Road Divided
SSP4 - 3.4,2050,2.1800346,Inequality - A Road Divided
SSP4 - 3.4,2060,1.5781204,Inequality - A Road Divided
SSP4 - 3.4,2070,1.0817528,Inequality - A Road Divided
SSP4 - 3.4,2080,0.29282987,Inequality - A Road Divided
SSP4 - 3.4,2090,-0.7585998,Inequality - A Road Divided
SSP4 - 3.4,2100,-1.7177505,Inequality - A Road Divided
SSP4 - 4.5,2010,5.187989,Inequality - A Road Divided
SSP4 - 4.5,2020,5.2513695,Inequality - A Road Divided
SSP4 - 4.5,2030,4.7769904,Inequality - A Road Divided
SSP4 - 4.5,2040,4.171506,Inequality - A Road Divided
SSP4 - 4.5,2050,3.174383,Inequality - A Road Divided
SSP4 - 4.5,2060,2.290649,Inequality - A Road Divided
SSP4 - 4.5,2070,1.6590456,Inequality - A Road Divided
SSP4 - 4.5,2080,1.1541559,Inequality - A Road Divided
SSP4 - 4.5,2090,1.0405258,Inequality - A Road Divided
SSP4 - 4.5,2100,0.8279864,Inequality - A Road Divided
SSP4 - 6.0,2010,5.187989,Inequality - A Road Divided
SSP4 - 6.0,2020,5.2513695,Inequality - A Road Divided
SSP4 - 6.0,2030,5.5845995,Inequality - A Road Divided
SSP4 - 6.0,2040,5.5893993,Inequality - A Road Divided
SSP4 - 6.0,2050,5.363204,Inequality - A Road Divided
SSP4 - 6.0,2060,5.0773425,Inequality - A Road Divided
SSP4 - 6.0,2070,4.7074037,Inequality - A Road Divided
SSP4 - 6.0,2080,3.8859735,Inequality - A Road Divided
SSP4 - 6.0,2090,3.0382934,Inequality - A Road Divided
SSP4 - 6.0,2100,2.2135537,Inequality - A Road Divided
SSP4 - Baseline,2005,4.9007106,Inequality - A Road Divided
SSP4 - Baseline,2010,5.187991,Inequality - A Road Divided
SSP4 - Baseline,2020,5.4594936,Inequality - A Road Divided
SSP4 - Baseline,2030,5.941658,Inequality - A Road Divided
SSP4 - Baseline,2040,6.1429267,Inequality - A Road Divided
SSP4 - Baseline,2050,6.085855,Inequality - A Road Divided
SSP4 - Baseline,2060,6.0735035,Inequality - A Road Divided
SSP4 - Baseline,2070,5.901086,Inequality - A Road Divided
SSP4 - Baseline,2080,5.4028664,Inequality - A Road Divided
SSP4 - Baseline,2090,5.055819,Inequality - A Road Divided
SSP4 - Baseline,2100,4.819476,Inequality - A Road Divided
SSP5 - 1.9,2005,5.4235206,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2010,5.275602,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2020,5.2568855,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2030,4.689595,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2040,2.6347733,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2050,0.14617088,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2060,-1.4949354,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2070,-1.9214852,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2080,-2.1865854,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2090,-2.4964883,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2100,-2.8894916,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2005,5.4158254,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2010,5.270526,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2020,5.2385135,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2030,5.359405,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2040,4.524572,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2050,2.912376,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2060,0.87126285,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2070,-0.47160098,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2080,-1.3841064,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2090,-2.1062133,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2100,-2.5730963,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2005,5.4158254,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2010,5.270526,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2020,5.2370033,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2030,5.521972,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2040,5.1793747,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2050,4.361923,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2060,3.3128603,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2070,1.8339162,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2080,0.33514547,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2090,-1.0899345,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2100,-1.8440816,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2005,5.4158254,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2010,5.270526,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2020,5.2360263,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2030,5.579103,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2040,5.47452,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2050,5.038393,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2060,4.3277903,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2070,3.4855626,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2080,2.8841403,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2090,2.192097,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2100,2.150599,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2005,5.4158254,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2010,5.270526,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2020,5.238395,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2030,5.939408,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2040,6.487295,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2050,6.780857,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2060,6.86224,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2070,6.538844,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2080,6.163431,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2090,5.6424866,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2100,5.5551004,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2005,5.4234653,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2010,5.275765,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2020,5.907096,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2030,7.0432644,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2040,8.3138895,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2050,9.842227,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2060,11.794344,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2070,13.893795,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2080,15.7926035,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2090,16.651453,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2100,17.09799,Fossil-fueled Development - Taking the Highway
