Entity,Year,Radiative forcing - Region: global,Radiative forcing - Region: global (Annotations)
SSP2 - 3.4,2080,3.6502514,Middle of the Road
SSP2 - 3.4,2090,3.577758,Middle of the Road
SSP2 - 3.4,2100,3.4861026,Middle of the Road
SSP2 - 4.5,2005,1.8709164,Middle of the Road
SSP2 - 4.5,2010,2.1375525,Middle of the Road
SSP2 - 4.5,2020,2.6230197,Middle of the Road
SSP2 - 4.5,2030,3.0146055,Middle of the Road
SSP2 - 4.5,2040,3.3948176,Middle of the Road
SSP2 - 4.5,2050,3.6745157,Middle of the Road
SSP2 - 4.5,2060,3.8911805,Middle of the Road
SSP2 - 4.5,2070,4.0700984,Middle of the Road
SSP2 - 4.5,2080,4.202828,Middle of the Road
SSP2 - 4.5,2090,4.2729583,Middle of the Road
SSP2 - 4.5,2100,4.2806754,Middle of the Road
SSP2 - 6.0,2005,1.8709164,Middle of the Road
SSP2 - 6.0,2010,2.1374989,Middle of the Road
SSP2 - 6.0,2020,2.6230533,Middle of the Road
SSP2 - 6.0,2030,3.0106475,Middle of the Road
SSP2 - 6.0,2040,3.4449837,Middle of the Road
SSP2 - 6.0,2050,3.8438144,Middle of the Road
SSP2 - 6.0,2060,4.217579,Middle of the Road
SSP2 - 6.0,2070,4.579262,Middle of the Road
SSP2 - 6.0,2080,4.892227,Middle of the Road
SSP2 - 6.0,2090,5.188424,Middle of the Road
SSP2 - 6.0,2100,5.488135,Middle of the Road
SSP2 - Baseline,2005,1.8709164,Middle of the Road
SSP2 - Baseline,2010,2.1372714,Middle of the Road
SSP2 - Baseline,2020,2.6219718,Middle of the Road
SSP2 - Baseline,2030,3.0165648,Middle of the Road
SSP2 - Baseline,2040,3.4697123,Middle of the Road
SSP2 - Baseline,2050,3.922371,Middle of the Road
SSP2 - Baseline,2060,4.394603,Middle of the Road
SSP2 - Baseline,2070,4.8974614,Middle of the Road
SSP2 - Baseline,2080,5.4213476,Middle of the Road
SSP2 - Baseline,2090,5.9829974,Middle of the Road
SSP2 - Baseline,2100,6.560877,Middle of the Road
SSP3 - 3.4,2005,1.8709164,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2010,2.1334615,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2020,2.6203804,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2030,3.1442716,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2040,3.5830054,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2050,3.6544032,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2060,3.6702805,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2070,3.671116,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2080,3.6403534,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2090,3.5885718,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2100,3.522411,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2005,1.8709164,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2010,2.1334615,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2020,2.6240625,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2030,3.1650898,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2040,3.63922,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2050,3.869095,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2060,4.0362997,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2070,4.1285434,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2080,4.204479,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2090,4.263437,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2100,4.2932754,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2005,1.8709164,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2010,2.1334615,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2020,2.6255543,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2030,3.1702902,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2040,3.6649337,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2050,3.9885736,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2060,4.312689,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2070,4.6604333,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2080,4.944131,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2090,5.183833,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2100,5.410145,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2005,1.8709164,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2010,2.1320324,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2020,2.617478,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2030,3.1808982,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2040,3.758835,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2050,4.2928596,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2060,4.839877,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2070,5.395268,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2080,5.9616985,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2090,6.55243,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2100,7.165433,Regional Rivalry - A Rocky Road
SSP4 - 2.6,2010,2.1356158,Inequality - A Road Divided
SSP4 - 2.6,2020,2.615401,Inequality - A Road Divided
SSP4 - 2.6,2030,3.0444584,Inequality - A Road Divided
SSP4 - 2.6,2040,3.2042587,Inequality - A Road Divided
SSP4 - 2.6,2050,3.2552428,Inequality - A Road Divided
SSP4 - 2.6,2060,3.2670496,Inequality - A Road Divided
SSP4 - 2.6,2070,3.236566,Inequality - A Road Divided
SSP4 - 2.6,2080,3.1431472,Inequality - A Road Divided
SSP4 - 2.6,2090,2.944663,Inequality - A Road Divided
SSP4 - 2.6,2100,2.6643412,Inequality - A Road Divided
SSP4 - 3.4,2010,2.1356158,Inequality - A Road Divided
SSP4 - 3.4,2020,2.6093016,Inequality - A Road Divided
SSP4 - 3.4,2030,3.0125518,Inequality - A Road Divided
SSP4 - 3.4,2040,3.3162837,Inequality - A Road Divided
SSP4 - 3.4,2050,3.508918,Inequality - A Road Divided
SSP4 - 3.4,2060,3.5997317,Inequality - A Road Divided
SSP4 - 3.4,2070,3.6470625,Inequality - A Road Divided
SSP4 - 3.4,2080,3.6486099,Inequality - A Road Divided
SSP4 - 3.4,2090,3.582218,Inequality - A Road Divided
SSP4 - 3.4,2100,3.4254181,Inequality - A Road Divided
SSP4 - 4.5,2010,2.1356158,Inequality - A Road Divided
SSP4 - 4.5,2020,2.6076014,Inequality - A Road Divided
SSP4 - 4.5,2030,3.0152674,Inequality - A Road Divided
SSP4 - 4.5,2040,3.3614638,Inequality - A Road Divided
SSP4 - 4.5,2050,3.6404536,Inequality - A Road Divided
SSP4 - 4.5,2060,3.8270702,Inequality - A Road Divided
SSP4 - 4.5,2070,3.9359736,Inequality - A Road Divided
SSP4 - 4.5,2080,4.0194902,Inequality - A Road Divided
SSP4 - 4.5,2090,4.0663595,Inequality - A Road Divided
SSP4 - 4.5,2100,4.110232,Inequality - A Road Divided
SSP4 - 6.0,2010,2.1356158,Inequality - A Road Divided
SSP4 - 6.0,2020,2.606071,Inequality - A Road Divided
SSP4 - 6.0,2030,3.0632257,Inequality - A Road Divided
SSP4 - 6.0,2040,3.5228975,Inequality - A Road Divided
SSP4 - 6.0,2050,3.928056,Inequality - A Road Divided
SSP4 - 6.0,2060,4.2878976,Inequality - A Road Divided
SSP4 - 6.0,2070,4.6253734,Inequality - A Road Divided
SSP4 - 6.0,2080,4.9340606,Inequality - A Road Divided
SSP4 - 6.0,2090,5.1520486,Inequality - A Road Divided
SSP4 - 6.0,2100,5.293856,Inequality - A Road Divided
SSP4 - Baseline,2005,1.8709164,Inequality - A Road Divided
SSP4 - Baseline,2010,2.1349483,Inequality - A Road Divided
SSP4 - Baseline,2020,2.6335814,Inequality - A Road Divided
SSP4 - Baseline,2030,3.1826632,Inequality - A Road Divided
SSP4 - Baseline,2040,3.7566552,Inequality - A Road Divided
SSP4 - Baseline,2050,4.2864857,Inequality - A Road Divided
SSP4 - Baseline,2060,4.776581,Inequality - A Road Divided
SSP4 - Baseline,2070,5.2539406,Inequality - A Road Divided
SSP4 - Baseline,2080,5.7062874,Inequality - A Road Divided
SSP4 - Baseline,2090,6.0833807,Inequality - A Road Divided
SSP4 - Baseline,2100,6.425488,Inequality - A Road Divided
SSP5 - 1.9,2005,1.8709164,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2010,2.138911,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2020,2.6795342,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2030,3.0968752,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2040,3.2423525,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2050,3.161707,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2060,2.9125795,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2070,2.6293614,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2080,2.3711276,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2090,2.1311123,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2100,1.8905336,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2005,1.8709164,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2010,2.1389406,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2020,2.6780846,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2030,3.1421854,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2040,3.4351673,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2050,3.5583816,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2060,3.5239427,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2070,3.3828928,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2080,3.176578,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2090,2.9198818,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2100,2.656269,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2005,1.8709164,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2010,2.1389449,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2020,2.6780565,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2030,3.1726067,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2040,3.5586913,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2050,3.7780435,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2060,3.8752887,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2070,3.9038143,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2080,3.8328104,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2090,3.660717,Fossil-fueled Development - Taking the Highway
SSP5 - 3.4,2100,3.431628,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2005,1.8709164,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2010,2.138944,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2020,2.6780229,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2030,3.1796882,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2040,3.6162767,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2050,3.9100065,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2060,4.082963,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2070,4.2149224,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2080,4.3018374,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2090,4.3241,Fossil-fueled Development - Taking the Highway
SSP5 - 4.5,2100,4.3125057,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2005,1.8709164,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2010,2.1389425,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2020,2.6767094,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2030,3.1915646,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2040,3.7203126,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2050,4.2045155,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2060,4.6079245,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2070,4.949741,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2080,5.207266,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2090,5.378522,Fossil-fueled Development - Taking the Highway
SSP5 - 6.0,2100,5.504735,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2005,1.8709164,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2010,2.1379683,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2020,2.708892,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2030,3.336422,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2040,4.053595,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2050,4.8374915,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2060,5.640415,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2070,6.4790864,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2080,7.3072166,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2090,8.052744,Fossil-fueled Development - Taking the Highway
SSP5 - Baseline,2100,8.697769,Fossil-fueled Development - Taking the Highway
