Entity,Year,Economic consumption per capita - Region: global,Economic consumption per capita - Region: global (Annotations)
SSP2 - 3.4,2100,49573.88,Middle of the Road
SSP2 - 4.5,2005,4499.383,Middle of the Road
SSP2 - 4.5,2010,5235.96,Middle of the Road
SSP2 - 4.5,2020,6715.307,Middle of the Road
SSP2 - 4.5,2030,10016.521,Middle of the Road
SSP2 - 4.5,2040,13204.235,Middle of the Road
SSP2 - 4.5,2050,16722.375,Middle of the Road
SSP2 - 4.5,2060,20846.238,Middle of the Road
SSP2 - 4.5,2070,26145.283,Middle of the Road
SSP2 - 4.5,2080,32605.02,Middle of the Road
SSP2 - 4.5,2090,40889.07,Middle of the Road
SSP2 - 4.5,2100,49832.77,Middle of the Road
SSP2 - 6.0,2005,4499.383,Middle of the Road
SSP2 - 6.0,2010,5235.758,Middle of the Road
SSP2 - 6.0,2020,6714.8184,Middle of the Road
SSP2 - 6.0,2030,10012.491,Middle of the Road
SSP2 - 6.0,2040,13205.544,Middle of the Road
SSP2 - 6.0,2050,16732.53,Middle of the Road
SSP2 - 6.0,2060,20864.822,Middle of the Road
SSP2 - 6.0,2070,26178.994,Middle of the Road
SSP2 - 6.0,2080,32680.973,Middle of the Road
SSP2 - 6.0,2090,41039.125,Middle of the Road
SSP2 - 6.0,2100,50056.188,Middle of the Road
SSP2 - Baseline,2005,4499.383,Middle of the Road
SSP2 - Baseline,2010,5234.8623,Middle of the Road
SSP2 - Baseline,2020,6713.662,Middle of the Road
SSP2 - Baseline,2030,10011.607,Middle of the Road
SSP2 - Baseline,2040,13207.638,Middle of the Road
SSP2 - Baseline,2050,16733.805,Middle of the Road
SSP2 - Baseline,2060,20868.414,Middle of the Road
SSP2 - Baseline,2070,26179.49,Middle of the Road
SSP2 - Baseline,2080,32691.367,Middle of the Road
SSP2 - Baseline,2090,41056.78,Middle of the Road
SSP2 - Baseline,2100,50104.492,Middle of the Road
SSP3 - 3.4,2005,5208.629,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2010,5468.496,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2020,6641.204,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2030,7462.2886,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2040,7663.83,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2050,7680.9272,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2060,7654.8667,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2070,7657.209,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2080,7632.232,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2090,7607.7773,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2100,7654.994,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2005,5208.629,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2010,5468.496,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2020,6641.204,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2030,7481.556,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2040,7790.58,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2050,7844.66,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2060,7784.9854,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2070,7839.9106,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2080,7888.3516,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2090,7918.3755,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2100,7962.038,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2005,5208.629,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2010,5468.496,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2020,6641.204,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2030,7482.6685,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2040,7831.1694,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2050,7932.4927,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2060,7981.9575,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2070,8066.167,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2080,8125.5557,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2090,8211.324,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2100,8359.974,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2005,5208.629,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2010,5468.3403,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2020,6643.5454,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2030,7495.6333,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2040,7888.3228,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2050,8030.021,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2060,8095.1016,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2070,8221.4795,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2080,8337.472,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2090,8473.564,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2100,8670.668,Regional Rivalry - A Rocky Road
SSP5 - 1.9,2005,4562.644,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2010,4779.5186,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2020,6238.0117,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2030,8602.663,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2040,11989.967,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2050,16183.322,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2060,21530.24,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2070,26477.193,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2080,34770.27,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2090,43764.094,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2100,54632.797,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2005,4562.644,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2010,4779.5186,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2020,6238.0117,Fossil-fueled Development - Taking the Highway
