Entity,Year,Population - Region: global,Population - Region: global (Annotations)
SSP2 - 4.5,2005,6503130000,Middle of the Road
SSP2 - 4.5,2010,6867390000,Middle of the Road
SSP2 - 4.5,2020,7611250000,Middle of the Road
SSP2 - 4.5,2030,8261990000,Middle of the Road
SSP2 - 4.5,2040,8787120000,Middle of the Road
SSP2 - 4.5,2050,9169110000,Middle of the Road
SSP2 - 4.5,2060,9384700000,Middle of the Road
SSP2 - 4.5,2070,9456880000,Middle of the Road
SSP2 - 4.5,2080,9407260000,Middle of the Road
SSP2 - 4.5,2090,9253950000,Middle of the Road
SSP2 - 4.5,2100,9032420000,Middle of the Road
SSP2 - 6.0,2005,6503130000,Middle of the Road
SSP2 - 6.0,2010,6867390000,Middle of the Road
SSP2 - 6.0,2020,7611250000,Middle of the Road
SSP2 - 6.0,2030,8261990000,Middle of the Road
SSP2 - 6.0,2040,8787120000,Middle of the Road
SSP2 - 6.0,2050,9169110000,Middle of the Road
SSP2 - 6.0,2060,9384700000,Middle of the Road
SSP2 - 6.0,2070,9456880000,Middle of the Road
SSP2 - 6.0,2080,9407260000,Middle of the Road
SSP2 - 6.0,2090,9253950000,Middle of the Road
SSP2 - 6.0,2100,9032420000,Middle of the Road
SSP2 - Baseline,2005,6503130000,Middle of the Road
SSP2 - Baseline,2010,6867390000,Middle of the Road
SSP2 - Baseline,2020,7611250000,Middle of the Road
SSP2 - Baseline,2030,8261990000,Middle of the Road
SSP2 - Baseline,2040,8787120000,Middle of the Road
SSP2 - Baseline,2050,9169110000,Middle of the Road
SSP2 - Baseline,2060,9384700000,Middle of the Road
SSP2 - Baseline,2070,9456880000,Middle of the Road
SSP2 - Baseline,2080,9407260000,Middle of the Road
SSP2 - Baseline,2090,9253950000,Middle of the Road
SSP2 - Baseline,2100,9032420000,Middle of the Road
SSP3 - 3.4,2005,6490987900,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2010,6879589600,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2020,7697853900,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2030,8514307300,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2040,9257220200,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2050,9957130800,Regional Rivalry - A Rocky Road
