Entity,Year,Carbon intensity of economy - Region: global,Carbon intensity of economy - Region: global (Annotations)
SSP2 - 3.4,2060,0.08722605,Middle of the Road
SSP2 - 3.4,2070,0.046152167,Middle of the Road
SSP2 - 3.4,2080,0.020215128,Middle of the Road
SSP2 - 3.4,2090,0.004044386,Middle of the Road
SSP2 - 3.4,2100,-0.0026659623,Middle of the Road
SSP2 - 4.5,2005,0.66812235,Middle of the Road
SSP2 - 4.5,2010,0.5967324,Middle of the Road
SSP2 - 4.5,2020,0.41779935,Middle of the Road
SSP2 - 4.5,2030,0.3103484,Middle of the Road
SSP2 - 4.5,2040,0.2395407,Middle of the Road
SSP2 - 4.5,2050,0.18555602,Middle of the Road
SSP2 - 4.5,2060,0.13955343,Middle of the Road
SSP2 - 4.5,2070,0.10185654,Middle of the Road
SSP2 - 4.5,2080,0.06513309,Middle of the Road
SSP2 - 4.5,2090,0.033438742,Middle of the Road
SSP2 - 4.5,2100,0.017029328,Middle of the Road
SSP2 - 6.0,2005,0.6681214,Middle of the Road
SSP2 - 6.0,2010,0.59670824,Middle of the Road
SSP2 - 6.0,2020,0.41875857,Middle of the Road
SSP2 - 6.0,2030,0.32245678,Middle of the Road
SSP2 - 6.0,2040,0.26653153,Middle of the Road
SSP2 - 6.0,2050,0.2274389,Middle of the Road
SSP2 - 6.0,2060,0.19499116,Middle of the Road
SSP2 - 6.0,2070,0.16497143,Middle of the Road
SSP2 - 6.0,2080,0.14062306,Middle of the Road
SSP2 - 6.0,2090,0.12085502,Middle of the Road
SSP2 - 6.0,2100,0.10294544,Middle of the Road
SSP2 - Baseline,2005,0.6680899,Middle of the Road
SSP2 - Baseline,2010,0.596703,Middle of the Road
SSP2 - Baseline,2020,0.41742936,Middle of the Road
SSP2 - Baseline,2030,0.3266069,Middle of the Road
SSP2 - Baseline,2040,0.2775218,Middle of the Road
SSP2 - Baseline,2050,0.24492685,Middle of the Road
SSP2 - Baseline,2060,0.2188909,Middle of the Road
SSP2 - Baseline,2070,0.19592482,Middle of the Road
SSP2 - Baseline,2080,0.18603253,Middle of the Road
SSP2 - Baseline,2090,0.17393793,Middle of the Road
SSP2 - Baseline,2100,0.15887086,Middle of the Road
SSP3 - 3.4,2005,0.6280855,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2010,0.6079273,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2020,0.47882265,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2030,0.3713098,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2040,0.21650225,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2050,0.13775206,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2060,0.09287264,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2070,0.04874879,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2080,0.01873981,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2090,-0.0031759844,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2100,-0.015933355,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2005,0.6280855,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2010,0.6079273,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2020,0.47882265,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2030,0.38849875,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2040,0.28198016,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2050,0.21543095,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2060,0.1390524,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2070,0.0990771,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2080,0.07399903,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2090,0.049013406,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2100,0.025533095,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2005,0.6280855,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2010,0.6079273,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2020,0.47882265,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2030,0.39012852,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2040,0.31346238,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2050,0.2733937,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2060,0.25638002,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2070,0.21327929,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2080,0.16966286,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2090,0.14041539,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2100,0.11947635,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2005,0.6280855,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2010,0.61038566,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2020,0.49772912,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2030,0.42177948,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2040,0.38736233,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2050,0.3685568,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2060,0.35753822,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2070,0.3453297,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2080,0.3333045,Regional Rivalry - A Rocky Road
